Slug,Nome do Produto,Descrição Bruta,URL da Imagem,Descrição Limpa
anel-coracao-personalizado,Anel Coração Personalizado,"<ul>
<li>Prata 925</li>
<li><em>Coloque na observação qual o tamanho que você deseja – disponível do 13 ao 23.</em></li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/05/WhatsApp-Image-2026-05-18-at-19.32.17-1.jpeg,Prata 925 Coloque na observação qual o tamanho que você deseja – disponível do 13 ao 23.
anel-medalha-inicial,Anel Medalha Inicial,"<ul>
<li>Prata 925</li>
<li><em>Coloque na observação qual o tamanho que você deseja &#8211; disponível do 13 ao 23.</em></li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/05/WhatsApp-Image-2026-05-18-at-16.48.39.jpeg,Prata 925 Coloque na observação qual o tamanho que você deseja &#8211; disponível do 13 ao 23.
colecao-bts-pingente-eu-fui-frente-e-verso,COLEÇÃO BTS &#8211; Pingente EU FUI &#8211; frente e verso,"<ul>
<li>Prata 925</li>
<li>Tamanho do Pingente &#8211; 18mm</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/05/WhatsApp-Image-2026-05-15-at-13.47.14.jpeg,Prata 925 Tamanho do Pingente &#8211; 18mm
colecao-bts-pingente-palheta-simbolo-bts,COLEÇÃO BTS &#8211; Pingente Palheta + simbolo BTS,"<ul>
<li>Prata 925</li>
<li>Tamanho do pingente &#8211; 16mm</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/05/WhatsApp-Image-2026-05-13-at-23.05.57-2-1.jpeg,Prata 925 Tamanho do pingente &#8211; 16mm
colecao-bts-pingente-army,COLEÇÃO BTS &#8211; Pingente Army,"<ul>
<li>Prata 925</li>
<li>Tamanho do pingente &#8211; 18mm</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/05/WhatsApp-Image-2026-05-13-at-23.05.57-1.jpeg,Prata 925 Tamanho do pingente &#8211; 18mm
colecao-bts-colar-bts-modelo-3,COLEÇÃO BTS &#8211; Colar BTS modelo 3,"<ul>
<li>Prata 925</li>
<li>Corrente de elos &#8211; 45cm</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/05/WhatsApp-Image-2026-05-13-at-23.05.56-1.jpeg,Prata 925 Corrente de elos &#8211; 45cm
colecao-bts-colar-bts-modelo-2,COLEÇÃO BTS &#8211; Colar BTS modelo 2,"<ul>
<li>Prata 925</li>
<li>Corrente de elos &#8211; 45cm</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/05/WhatsApp-Image-2026-05-13-at-23.05.58.jpeg,Prata 925 Corrente de elos &#8211; 45cm
colecao-bts-pulseira-army,COLEÇÃO BTS &#8211; Pulseira ARMY,"<ul>
<li>Prata 925</li>
<li>Corrente de Elo &#8211; 16cm</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/05/WhatsApp-Image-2026-05-13-at-23.05.56.jpeg,Prata 925 Corrente de Elo &#8211; 16cm
colecao-bts-colar-bts-logo,COLEÇÃO BTS &#8211; Colar BTS + Logo,"<ul>
<li>Prata 925</li>
<li>Corrente de Elos &#8211;  45cm</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/05/WhatsApp-Image-2026-05-13-at-23.05.58-2.jpeg,Prata 925 Corrente de Elos &#8211; 45cm
colecao-bts-pingente-logo-modelo-2,COLEÇÃO BTS &#8211; Pingente Logo Modelo 2,"<ul>
<li>Prata 925</li>
<li>Pingente 15mm</li>
</ul>
",https://useupvix.com.br/wp-content/uploads/2026/05/WhatsApp-Image-2026-05-15-at-11.36.38.jpeg,Prata 925 Pingente 15mm
